,TLT.OPEN,TLT.HIGH,TLT.LOW,TLT.CLOSE
2009-10-22,95.38,95.83,95.3322,95.67
2009-10-23,94.88,95.42,94.87,94.95
2009-10-26,94.44,94.51,93.55,93.72
2009-10-27,93.97,95.11,93.92,95
2009-10-28,95.14,95.8,94.96,95.45
2009-10-29,94.82,95.0599,93.95,94.41
2009-10-30,95.1,96.01,94.87,95.78
2009-11-02,95.51,95.58,94.8,95.05
2009-11-03,95.28,95.36,94,94.1
2009-11-04,93.61,94.07,92.8,93.24
2009-11-05,92.87,93.24,92.8,93.24
2009-11-06,93.38,93.45,92.46,93.33
2009-11-09,93.28,93.7,93.13,93.44
2009-11-10,94.05,94.1,92.91,93.27
2009-11-11,93.63,94.16,93.48,93.66
2009-11-12,93.24,93.59,92.45,93.49
2009-11-13,93.83,94.06,93.45,93.92
2009-11-16,94.65,95.45,94.52,95.02
2009-11-17,94.99,95.8,94.81,95.53
2009-11-18,95.44,95.53,94.74,94.97
2009-11-19,95.24,95.82,94.91,95.14
2009-11-20,95,95.37,94.59,95.12
2009-11-23,94.54,95.1,94.34,95
2009-11-24,95.11,95.7,94.99,95.6
2009-11-25,95.49,96.2299,94.97,96.04
2009-11-27,96.4,96.56,96.09,96.4
2009-11-30,96.2,96.73,96,96.63
2009-12-01,95.76,95.93,95.19,95.25
2009-12-02,95.29,95.96,94.99,95.33
2009-12-03,94.43,94.84,94.24,94.34
2009-12-04,93.29,93.65,92.91,93.34
2009-12-07,93.27,93.74,93.09,93.46
2009-12-08,94.05,94.37,93.37,93.6
2009-12-09,93.69,94.05,92.68,93.17
2009-12-10,92.69,92.8,91.95,92.1
2009-12-11,91.84,92.26,91.31,92.09
2009-12-14,92.35,92.5,92.05,92.2
2009-12-15,91.57,92,91.49,91.79
2009-12-16,91.93,92.2501,91.36,91.68
2009-12-17,92.5,93.23,92.1901,93.19
2009-12-18,93.2,93.5,92.65,92.79
2009-12-21,92.06,92.2,91.14,91.14
2009-12-22,90.8,90.87,90.421,90.63
