,MDY.OPEN,MDY.HIGH,MDY.LOW,MDY.CLOSE
2013-04-08,204.97,206.24,203.76,206.11
2013-04-09,206.48,207.02,205.29,206.17
2013-04-10,206.69,209.19,206.67,209.02
2013-04-11,208.93,210.58,208.81,209.82
2013-04-12,209.24,209.62,207.87,208.95
2013-04-15,207.92,208.13,201.91,202.4
2013-04-16,203.94,205.76,203.28,205.5
2013-04-17,203.99,204.07,200.87,202.35
2013-04-18,202.75,202.99,200.29,201
2013-04-19,202.47,204.31,201.38,204.31
2013-04-22,204.2,205.1683,201.81,204.76
2013-04-23,205.78,207.07,204.86,206.83
2013-04-24,206.87,207.79,206.46,207.69
2013-04-25,208.2,209.61,207.83,208.53
2013-04-26,208.23,208.72,206.92,207.68
2013-04-29,208.38,209.64,208.05,209.19
2013-04-30,209.3,211.11,208.61,210.97
2013-05-01,210.35,210.49,207.16,207.24
2013-05-02,208.14,209.57,207.71,209.44
2013-05-03,211.49,213.07,210.74,211.94
2013-05-06,212.08,213.34,211.82,213.18
2013-05-07,213.56,215,213.17,214.86
2013-05-08,214.41,216.27,214.4,216.27
2013-05-09,215.96,216.2099,214.89,215.22
2013-05-10,215.66,216.69,215.21,216.69
2013-05-13,216.19,216.78,215.47,216.18
2013-05-14,216.36,218.79,216.36,218.71
2013-05-15,218.06,219.93,218.03,219.54
2013-05-16,219.17,220.18,218.13,218.37
2013-05-17,219.31,220.76,219.17,220.72
2013-05-20,220.24,221.57,220.24,220.92
2013-05-21,220.9,221.8,220.39,221.15
2013-05-22,221.35,222.97,216.46,217.4
2013-05-23,214.99,217.38,214.49,217.16
2013-05-24,216.06,216.52,214.48,216.52
2013-05-28,219.165,220.06,216.89,217.89
2013-05-29,216.62,217.07,214.43,216.03
2013-05-30,216.71,218.32,216.48,217.95
2013-05-31,216.78,218.85,215.61,215.8
2013-06-03,215.85,216.23,213.1,215.07
2013-06-04,215.22,216.44,212.5,213.67
2013-06-05,213.03,213.49,210.55,210.58
2013-06-06,210.71,213.33,210.27,213.33
2013-06-07,214.48,215.547,212.74,215.28
2013-06-10,216.12,216.15,214.09,215.45
2013-06-11,213.14,214.82,211.68,212.64
2013-06-12,214.165,214.45,210.37,210.83
2013-06-13,210.48,214.99,210.22,214.69
2013-06-14,214.56,215.41,213.24,213.82
2013-06-17,215.44,215.778,214.01,215.13
2013-06-18,215.12,217.19,215.12,217.04
2013-06-19,216.35,216.98,213.43,213.43
2013-06-20,211.02,211.38,207.41,207.71
2013-06-21,207.27,208.16,204.77,206.85
2013-06-24,204.27,206.23,202.45,204.52
2013-06-25,206.56,207.48,204.7,207.09
2013-06-26,208.85,209.32,207.42,208.38
2013-06-27,209.82,212.0055,209.8,211.38
2013-06-28,210.9,212.23,210.08,210.1
2013-07-01,211.77,214.77,211.59,213.18
2013-07-02,213.3,214.8588,211.88,212.91
2013-07-03,212.22,213.59,211.8,212.98
2013-07-05,215.03,215.82,212.68,215.82
2013-07-08,216.7,217.24,215.93,216.17
2013-07-09,217.28,218.91,216.58,218.48
2013-07-10,218.58,218.92,217.46,218.59
2013-07-11,221,221.54,220.19,221.41
2013-07-12,221.46,222.32,221.25,221.78
2013-07-15,222.45,223.19,221.79,223
2013-07-16,223.1,223.55,220.99,221.23
2013-07-17,222.54,222.93,221.52,222.26
2013-07-18,223.02,224.52,222.58,224.25
2013-07-19,223.71,224.71,223.5,224.56
2013-07-22,224.96,225.65,224.33,225.32
2013-07-23,226.12,226.14,224.87,225.34
2013-07-24,226.27,226.59,223.28,223.63
2013-07-25,223.23,224.75,222.91,224.51
2013-07-26,223.08,223.74,222.22,223.29
