,RWR.OPEN,RWR.HIGH,RWR.LOW,RWR.CLOSE
2012-07-02,74.09,74.09,72.6756,73.59
2012-07-03,73.6,74.19,73.49,73.99
2012-07-05,73.9,74.16,73.41,73.64
2012-07-06,73.24,73.89,72.99,73.74
2012-07-09,73.79,73.92,73.43,73.89
2012-07-10,74.11,74.15,72.64,73.05
2012-07-11,73.02,73.26,72.64,73.1
2012-07-12,72.5,73.68,72.38,73.35
2012-07-13,73.57,74.32,73.456,74.21
2012-07-16,74.17,74.59,74.03,74.45
2012-07-17,74.86,75.31,74.11,75.13
2012-07-18,75.03,75.08,74.38,74.64
2012-07-19,74.91,74.91,73.33,73.81
2012-07-20,73.53,73.66,73.0801,73.39
2012-07-23,72.64,73.08,72.43,72.91
2012-07-24,73.08,73.29,72.2,72.72
2012-07-25,72.98,73.12,72.27,72.7
2012-07-26,73.77,73.83,72.892,73.3
2012-07-27,73.74,74.53,73.64,74.05
2012-07-30,74.1,74.59,73.9679,74.28
2012-07-31,74.25,74.45,73.98,74.26
2012-08-01,74.66,75.05,74,74.02
2012-08-02,73.67,74.15,73.392,74.08
2012-08-03,74.83,75.02,74.58,74.68
2012-08-06,74.99,75.13,74.57,74.6
2012-08-07,74.78,74.87,73.67,73.72
2012-08-08,73.5,74.5,72.9,73.09
2012-08-09,73.14,73.42,72.78,72.89
2012-08-10,72.83,73.01,72.68,72.94
2012-08-13,72.94,73.14,72.5898,72.89
2012-08-14,73.15,73.17,72.64,72.71
2012-08-15,72.64,73.25,72.64,73.08
2012-08-16,73.26,73.64,72.7939,73.61
2012-08-17,73.76,73.76,73.39,73.69
2012-08-20,73.7,73.72,73.06,73.42
2012-08-21,73.7,73.79,73.44,73.52
2012-08-22,73.5,73.56,72.73,73.5
2012-08-23,73.43,73.57,73.1,73.27
2012-08-24,73.16,73.75,72.99,73.55
2012-08-27,73.86,73.92,73.41,73.8
2012-08-28,73.75,74.08,73.363,74
2012-08-29,74.03,74.18,73.8502,73.99
2012-08-30,73.6,73.94,73.56,73.87
2012-08-31,74.19,74.192,73.51,74.05
2012-09-04,74.07,74.644,73.5401,74.61
2012-09-05,74.72,74.72,74.0817,74.42
2012-09-06,74.82,75.12,74.78,75.1
2012-09-07,75.29,75.375,75.04,75.11
2012-09-10,75.08,75.08,74.454,74.5
2012-09-11,74.58,74.79,74.4,74.75
2012-09-12,74.89,75.02,74.61,74.94
2012-09-13,74.99,76,74.89,75.89
2012-09-14,76.13,76.81,76.13,76.37
2012-09-17,76.3,76.74,75.99,76.08
2012-09-18,75.94,75.94,75.08,75.3
2012-09-19,75.55,75.55,74.95,74.95
2012-09-20,74.56,74.65,73.51,73.74
2012-09-21,73.48,73.54,73.09,73.14
2012-09-24,72.65,73.4199,72.65,72.88
2012-09-25,73.11,73.15,71.74,71.78
2012-09-26,71.75,72.194,71.51,71.75
2012-09-27,72.07,72.61,71.84,72.1
2012-09-28,71.97,72.29,71.57,71.96
2012-10-01,72.15,72.2,70.7,71.41
2012-10-02,71.56,71.95,71.3201,71.93
2012-10-03,72,72.75,71.97,72.12
2012-10-04,72.49,72.64,71.76,72.01
2012-10-05,72.2,72.54,71.92,72.13
2012-10-08,71.78,72.01,71.71,71.98
2012-10-09,72,72.35,71.726,71.76
2012-10-10,71.84,72.17,71.6,72.02
2012-10-11,72.43,72.56,72.03,72.03
2012-10-12,72.1,72.33,71.64,71.73
2012-10-15,71.73,72.23,71.39,72.19
2012-10-16,72.46,72.75,72.45,72.6
2012-10-17,72.27,72.53,71.97,72.41
2012-10-18,72.32,73.19,72.32,73.19
2012-10-19,73.13,73.46,72.495,72.59
2012-10-22,72.6,72.69,71.79,72.19
2012-10-23,71.54,71.75,70.94,71.52
2012-10-24,71.67,71.89,71.18,71.41
2012-10-25,71.74,72.12,70.43,71.15
2012-10-26,71.09,71.09,70.18,70.59
2012-10-31,70.57,71.32,70.2,71.32
2012-11-01,71.42,71.77,71.09,71.52
2012-11-02,72.09,72.62,71.95,72.19
2012-11-05,72.15,72.15,71.15,71.66
2012-11-06,71.89,72.0775,71.43,71.92
2012-11-07,71.58,71.94,71.303,71.63
2012-11-08,71.66,71.66,70.8,70.8
2012-11-09,70.69,71.0927,70.31,70.57
2012-11-12,70.74,70.74,70.196,70.43
2012-11-13,70.1,70.772,70,70.41
2012-11-14,70.66,70.66,68.856,69.09
2012-11-15,69.03,69.47,68.31,68.61
2012-11-16,68.67,69.18,68.34,69.1
2012-11-19,69.49,70.12,69.49,69.96
2012-11-20,69.99,70.4,69.6,70.39
2012-11-21,70.5,70.6,69.93,70.25
2012-11-23,70.45,70.87,70.36,70.85
2012-11-26,70.71,71.47,70.44,71.02
2012-11-27,70.41,71.21,69.94,70.55
2012-11-28,70.47,70.55,69.81,70.45
2012-11-29,70.92,70.92,69.37,70.85
2012-11-30,70.89,71.34,70.76,70.98
2012-12-03,71.2,71.684,71.06,71.3
2012-12-04,71.17,71.77,71.15,71.355
2012-12-05,71.6,71.6,70.88,71.17
2012-12-06,71.13,71.85,71.13,71.84
2012-12-07,72.07,72.12,71.8,72.11
2012-12-10,72.12,72.42,71.97,72.08
2012-12-11,72.01,72.48,72.01,72.21
2012-12-12,72.38,72.38,71.76,72.08
2012-12-13,71.74,72.17,71.3,71.54
